Date,Price,Open,High,Low,Vol.,Change %
2017-12-01,19516.3,19592.8,19631.1,19439.7,1.65M,-0.58%
2017-12-04,19516.3,19669.3,20052.0,19516.3,1.27M,0.00%
2017-12-05,19057.0,19669.3,19669.3,19057.0,3.06M,-2.35%
2017-12-06,19018.8,18904.0,19057.0,18750.9,2.33M,-0.20%
2017-12-07,19133.6,19133.6,19248.4,18789.2,808.64K,0.60%
2017-12-08,19133.6,19171.8,19286.7,18865.7,1.07M,0.00%
2017-12-11,18368.2,18291.7,18980.5,18291.7,1.56M,-4.00%
2017-12-12,18444.8,18368.2,18674.4,17105.4,3.29M,0.42%
2017-12-13,18291.7,18444.8,18521.3,18100.4,2.54M,-0.83%
2017-12-14,18712.6,18215.2,18750.9,17794.2,1.85M,2.30%
2017-12-15,18597.8,18521.3,18712.6,18253.4,808.26K,-0.61%
2017-12-18,18636.1,18597.8,18750.9,18521.3,1.29M,0.21%
2017-12-19,18444.8,18636.1,18904.0,18444.8,1.18M,-1.03%
2017-12-20,18750.9,18444.8,18904.0,18406.5,1.10M,1.66%
2017-12-21,18521.3,18750.9,18980.5,18521.3,1.65M,-1.22%
2017-12-22,18253.4,18291.7,18521.3,17985.6,2.43M,-1.45%
2017-12-25,18215.2,18521.3,18597.8,18138.6,720.01K,-0.21%
2017-12-26,18444.8,18215.2,18444.8,17985.6,1.27M,1.26%
2017-12-27,18674.4,18559.6,18865.7,18406.5,1.51M,1.24%
2017-12-28,18942.2,18674.4,19210.1,18674.4,1.74M,1.43%
2017-12-29,19516.3,19171.8,19516.3,18942.2,3.26M,3.03%
2018-01-02,20664.3,19516.3,20664.3,19286.7,3.65M,5.88%
2018-01-03,20511.2,20664.3,20702.5,20281.6,3.09M,-0.74%
2018-01-04,21085.2,20511.2,21200.0,20319.9,5.56M,2.80%
2018-01-05,20970.4,21046.9,21085.2,20626.0,2.40M,-0.54%
2018-01-08,21314.8,21200.0,21582.7,20970.4,2.58M,1.64%
2018-01-09,20970.4,21314.8,21391.3,19898.9,5.30M,-1.62%
2018-01-10,21008.7,20970.4,21620.9,20893.9,3.54M,0.18%
2018-01-11,21123.5,21046.9,21238.3,20779.1,1.97M,0.55%
2018-01-12,20855.6,20817.3,21085.2,20740.8,3.13M,-1.27%
2018-01-15,20893.9,20702.5,21200.0,20472.9,2.25M,0.18%
2018-01-16,21200.0,20932.1,21353.1,20855.6,2.98M,1.47%
2018-01-17,20664.3,21200.0,21506.1,20664.3,3.58M,-2.53%
2018-01-18,20740.8,20358.1,20740.8,20128.5,2.31M,0.37%
2018-01-19,20587.7,20817.3,20893.9,20358.1,4.47M,-0.74%
2018-01-22,21774.0,20587.7,21888.8,20549.5,6.34M,5.76%
2018-01-25,23266.4,22271.5,23266.4,22041.9,10.04M,6.85%
2018-01-26,24873.7,24873.7,24873.7,24108.3,7.14M,6.91%
2018-01-29,26480.9,25256.3,26595.7,25256.3,5.53M,6.46%
2018-01-30,27552.4,25141.5,27552.4,25141.5,4.13M,4.05%
2018-01-31,26174.7,28470.8,28509.0,26174.7,2.21M,-5.00%
2018-02-01,25792.1,26404.3,26442.6,25179.8,2.38M,-1.46%
2018-02-02,25792.1,25485.9,26251.3,25332.9,2.23M,0.00%
2018-02-05,23993.5,25409.4,25562.5,23993.5,3.51M,-6.97%
2018-02-06,22348.0,22348.0,23572.6,22348.0,4.17M,-6.86%
2018-02-07,23878.7,23878.7,23878.7,22960.3,2.59M,6.85%
2018-02-08,24644.1,23878.7,25103.3,23878.7,2.57M,3.21%
2018-02-09,24720.6,22960.3,25256.3,22922.0,2.26M,0.31%
2018-02-12,26442.6,25256.3,26442.6,24873.7,2.97M,6.97%
2018-02-13,27093.2,27858.5,27935.0,26787.0,3.09M,2.46%
2018-02-21,28623.8,27552.4,28968.2,27246.2,2.69M,5.65%
2018-02-22,28164.6,28317.7,29542.2,28126.4,3.59M,-1.60%
2018-02-23,28394.2,28317.7,28700.4,27475.8,4.56M,0.82%
2018-02-26,29159.6,29006.5,29657.1,28623.8,4.42M,2.70%
2018-02-27,29197.8,29159.6,29695.3,28776.9,2.79M,0.13%
2018-02-28,29848.4,29006.5,30231.1,28815.2,5.69M,2.23%
2018-03-01,28930.0,29542.2,30307.6,28700.4,3.31M,-3.08%
2018-03-02,28930.0,28317.7,29083.0,28241.2,2.99M,0.00%
2018-03-05,26940.1,29274.4,29389.2,26940.1,3.26M,-6.88%
2018-03-06,28815.2,27552.4,28815.2,27131.4,3.18M,6.96%
2018-03-07,28700.4,29083.0,29159.6,28241.2,2.58M,-0.40%
2018-03-08,28470.8,28700.4,29083.0,28317.7,1.42M,-0.80%
2018-03-09,28509.0,28700.4,29083.0,28317.7,2.85M,0.13%
2018-03-12,29542.2,29618.8,29848.4,29083.0,2.53M,3.62%
2018-03-13,30001.5,29542.2,30001.5,29083.0,2.49M,1.55%
2018-03-14,29848.4,30460.7,30460.7,29771.9,2.51M,-0.51%
2018-03-15,31914.8,29848.4,31914.8,29618.8,4.44M,6.92%
2018-03-16,32756.7,32374.0,33292.4,31991.3,3.31M,2.64%
2018-03-19,31914.8,32909.8,32986.3,31532.1,2.98M,-2.57%
2018-03-20,32527.1,31532.1,32986.3,31379.1,2.35M,1.92%
2018-03-21,33292.4,33292.4,33522.0,32603.6,2.02M,2.35%
2018-03-22,33904.7,33292.4,34057.8,33101.1,3.18M,1.84%
2018-03-23,32412.3,33292.4,33369.0,31685.2,4.61M,-4.40%
2018-03-26,34363.9,32144.4,34363.9,32144.4,2.43M,6.02%
2018-03-27,33751.6,35205.8,35665.0,33751.6,3.70M,-1.78%
2018-03-28,34096.0,33675.1,34249.1,33215.9,2.10M,1.02%
2018-03-29,33675.1,34096.0,34210.8,33522.0,1.13M,-1.23%
2018-03-30,33215.9,33522.0,33636.8,32641.9,2.78M,-1.36%
2018-04-02,34440.4,33522.0,34440.4,32871.5,3.28M,3.69%
2018-04-03,34517.0,34670.0,35052.7,34210.8,1.69M,0.22%
2018-04-04,34287.4,34517.0,34784.9,34287.4,1.90M,-0.67%
2018-04-05,33675.1,34287.4,34287.4,33483.8,2.19M,-1.79%
2018-04-06,33675.1,33828.2,34210.8,33522.0,1.85M,0.00%
2018-04-09,33981.2,33904.7,34440.4,33215.9,3.43M,0.91%
2018-04-10,34823.1,34363.9,35511.9,34287.4,5.26M,2.48%
